                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.4391,                 1.0563,                 1.1872,                0.62053,                0.31117,                0.32187,                0.16043,                 1.9606,                 1.7537,                 1.4895,              0.0072527,              0.0072527,              0.0072527
                    114,                 1.4244,                 1.0413,                 1.1888,                0.68084,                0.30262,                0.31817,                0.15912,                 1.9789,                 1.8588,                 1.4972,               0.007228,               0.007228,               0.007228
                    115,                 1.4288,                 1.0482,                  1.193,                  0.655,                0.30647,                0.31474,                   0.15,                 1.9935,                 1.9091,                 1.4955,              0.0072033,              0.0072033,              0.0072033
                    116,                 1.4381,                 1.0428,                 1.1883,                0.60198,                0.34885,                 0.3168,                0.15489,                 1.9784,                 1.8662,                 1.5034,              0.0071785,              0.0071785,              0.0071785
                    117,                  1.437,                 1.0482,                 1.1893,                 0.6326,                0.36374,                0.33375,                0.16719,                 1.9733,                 1.8351,                 1.5015,              0.0071538,              0.0071538,              0.0071538
                    118,                 1.4166,                 1.0191,                  1.181,                0.61316,                0.33819,                0.32421,                0.16105,                 2.0028,                 1.8372,                 1.5119,               0.007129,               0.007129,               0.007129
                    119,                 1.4072,                 1.0257,                  1.179,                0.65526,                0.32633,                0.32733,                0.15956,                 1.9962,                 1.8236,                  1.509,              0.0071042,              0.0071042,              0.0071042
                    120,                 1.4116,                 1.0215,                 1.1807,                 0.6289,                 0.3282,                 0.3195,                0.15468,                 1.9762,                 1.7902,                 1.4974,              0.0070795,              0.0070795,              0.0070795
                    121,                 1.3922,                 1.0078,                 1.1705,                0.63248,                0.32322,                0.31815,                 0.1576,                 1.9727,                 1.8144,                 1.4898,              0.0070547,              0.0070547,              0.0070547
                    122,                 1.4097,                 1.0093,                 1.1817,                0.58079,                0.32187,                0.31105,                0.15022,                 2.0185,                 1.8497,                 1.4975,                0.00703,                0.00703,                0.00703
                    123,                 1.4082,                 1.0192,                 1.1708,                0.63269,                0.30114,                0.31465,                0.15211,                 2.0112,                 1.8861,                 1.5069,              0.0070053,              0.0070053,              0.0070053
                    124,                 1.3998,                 1.0231,                 1.1691,                0.63617,                0.32198,                 0.3153,                0.15648,                  1.975,                 1.8627,                 1.4841,              0.0069805,              0.0069805,              0.0069805
                    125,                 1.4096,                0.99891,                 1.1771,                0.47697,                0.34595,                0.30836,                0.15346,                 1.9791,                 1.8839,                 1.4867,              0.0069558,              0.0069558,              0.0069558
                    126,                 1.3905,                 1.0125,                 1.1716,                0.66148,                0.29764,                0.32096,                0.16182,                 1.9917,                 1.8149,                  1.501,               0.006931,               0.006931,               0.006931
                    127,                 1.3878,                0.97524,                 1.1601,                0.63663,                 0.3142,                 0.3159,                0.15497,                 2.0039,                 1.8207,                 1.5094,              0.0069063,              0.0069063,              0.0069063
                    128,                 1.3834,                0.97782,                 1.1616,                0.60034,                 0.3303,                0.31293,                0.15308,                 1.9675,                 1.8564,                 1.4806,              0.0068815,              0.0068815,              0.0068815
                    129,                 1.3822,                0.97652,                 1.1607,                0.61323,                0.31887,                0.31329,                0.15533,                 1.9981,                 1.8085,                 1.5057,              0.0068568,              0.0068568,              0.0068568
                    130,                 1.3791,                0.98442,                 1.1591,                0.58661,                0.32838,                0.31713,                0.15814,                 2.0154,                 1.7903,                 1.5254,               0.006832,               0.006832,               0.006832
                    131,                 1.3777,                 0.9691,                 1.1668,                0.60276,                0.35191,                0.33579,                0.16808,                 2.0112,                 1.8083,                 1.5336,              0.0068073,              0.0068073,              0.0068073
                    132,                 1.3844,                0.98748,                 1.1612,                0.56006,                 0.2987,                0.32067,                0.15939,                 2.0112,                 1.8095,                 1.5171,              0.0067825,              0.0067825,              0.0067825
                    133,                 1.3852,                0.98144,                 1.1602,                0.66324,                0.29343,                0.30477,                 0.1485,                 2.0012,                 1.8692,                 1.4969,              0.0067577,              0.0067577,              0.0067577
                    134,                 1.3799,                 0.9784,                  1.167,                0.54555,                0.31681,                 0.3202,                0.15412,                 1.9913,                 1.8774,                 1.5023,               0.006733,               0.006733,               0.006733
                    135,                 1.3611,                0.96777,                 1.1494,                 0.6458,                0.32511,                0.33038,                0.16203,                 1.9805,                 1.8275,                 1.5104,              0.0067082,              0.0067082,              0.0067082
                    136,                 1.3618,                0.95892,                 1.1521,                0.67884,                0.31536,                0.31897,                 0.1565,                 1.9615,                 1.8523,                 1.5042,              0.0066835,              0.0066835,              0.0066835
                    137,                 1.3583,                 0.9555,                 1.1563,                0.53731,                 0.3067,                0.32108,                0.15551,                 1.9889,                 1.7949,                 1.5194,              0.0066587,              0.0066587,              0.0066587
                    138,                 1.3717,                0.96336,                 1.1577,                0.64232,                0.31161,                 0.3131,                0.15884,                 1.9996,                 1.8247,                 1.5167,               0.006634,               0.006634,               0.006634
                    139,                  1.344,                0.94373,                 1.1517,                0.65155,                0.31204,                0.30422,                0.15113,                 2.0137,                 1.8684,                 1.5195,              0.0066092,              0.0066092,              0.0066092
                    140,                 1.3529,                 0.9385,                  1.147,                0.62075,                 0.3054,                0.29953,                0.14823,                 2.0053,                 1.8445,                 1.5105,              0.0065845,              0.0065845,              0.0065845
                    141,                  1.357,                0.94886,                 1.1465,                0.65355,                 0.3198,                0.32266,                0.16535,                 1.9807,                 1.7883,                 1.4995,              0.0065598,              0.0065598,              0.0065598
                    142,                 1.3481,                0.94935,                 1.1498,                0.60157,                0.36314,                0.33786,                0.16873,                 1.9962,                 1.7596,                   1.51,               0.006535,               0.006535,               0.006535
                    143,                 1.3442,                0.94085,                 1.1404,                0.61397,                0.36672,                0.34068,                0.16835,                 1.9759,                 1.7521,                 1.4853,              0.0065102,              0.0065102,              0.0065102
                    144,                 1.3424,                0.93726,                 1.1453,                0.58348,                0.37283,                0.32924,                0.16692,                 1.9906,                 1.7967,                 1.4982,              0.0064855,              0.0064855,              0.0064855
                    145,                 1.3398,                0.92512,                 1.1392,                0.65928,                0.33366,                0.33071,                  0.166,                 1.9738,                 1.7914,                 1.5081,              0.0064608,              0.0064608,              0.0064608
                    146,                 1.3411,                0.92672,                 1.1429,                0.61641,                0.35078,                0.32246,                0.16072,                 1.9807,                  1.781,                 1.4945,               0.006436,               0.006436,               0.006436
                    147,                 1.3379,                0.92998,                 1.1408,                0.66316,                0.32393,                0.32519,                0.16138,                 1.9708,                 1.8109,                 1.4932,              0.0064112,              0.0064112,              0.0064112
                    148,                 1.3426,                0.93526,                 1.1463,                 0.6632,                0.33056,                0.33506,                  0.167,                 1.9694,                 1.7873,                 1.4915,              0.0063865,              0.0063865,              0.0063865
                    149,                 1.3455,                0.93764,                 1.1437,                0.65084,                0.30235,                0.31236,                0.15601,                 1.9792,                 1.8103,                  1.501,              0.0063618,              0.0063618,              0.0063618
                    150,                 1.3367,                0.92229,                 1.1419,                0.56704,                0.31986,                 0.3259,                0.15842,                 1.9854,                 1.7811,                  1.495,               0.006337,               0.006337,               0.006337
                    151,                 1.3418,                0.92279,                  1.141,                0.69537,                0.30969,                0.32624,                0.16221,                 1.9643,                 1.7754,                 1.4848,              0.0063122,              0.0063122,              0.0063122
